Number of processes =8
0 x_1 = 3963
0 x_2 = 8040
0 x_3 = 1792
0 x_4 = 1641
0 x_5 = 5295
0 x_6 = 1878
0 x_7 = 4823
0 x_8 = 2896
0 x_9 = 5525
0 x_10 = 1147
0 x_11 = 5499
0 x_12 = 185
0 x_13 = 6869
0 x_14 = 4670
0 x_15 = 6476
0 x_16 = 8611
0 x_17 = 4437
0 x_18 = 7096
0 x_19 = 3828
0 x_20 = 3045
0 x_21 = 1797
0 x_22 = 1826
0 x_23 = 2899
0 x_24 = 5636
0 x_25 = 5254
0 x_26 = 361
0 x_27 = 4140
0 x_28 = 5348
0 x_29 = 3839
0 x_30 = 3452
0 x_31 = 7615
0 x_32 = 4549
0 x_33 = 1999
0 x_34 = 59
0 x_35 = 2207
0 x_36 = 7755
0 x_37 = 488
0 x_38 = 8839
0 x_39 = 3632
0 x_40 = 5034
0 x_41 = 1462
0 x_42 = 7913
0 x_43 = 6334
0 x_44 = 3357
0 x_45 = 4100
0 x_46 = 3868
0 x_47 = 4525
0 x_48 = 1111
0 x_49 = 4167
0 x_50 = 6347
0 x_51 = 3838
0 x_52 = 3415
0 x_53 = 6246
0 x_54 = 101
0 x_55 = 3761
0 x_56 = 566
0 x_57 = 2484
0 x_58 = 8763
0 x_59 = 820
0 x_60 = 2641
0 x_61 = 5331
0 x_62 = 3210
0 x_63 = 7902
0 x_64 = 5927
0 x_65 = 6780
0 x_66 = 1377
0 x_67 = 4768
0 x_68 = 861
0 x_69 = 4158
0 x_70 = 6014
0 x_71 = 758
0 x_72 = 347
0 x_73 = 3622
0 x_74 = 4664
0 x_75 = 6254
0 x_76 = 397
0 x_77 = 5472
0 x_78 = 8427
0 x_79 = 6870
0 x_80 = 4707
0 x_81 = 7845
0 x_82 = 3818
0 x_83 = 2675
0 x_84 = 6589
0 x_85 = 3551
0 x_86 = 2037
0 x_87 = 1465
0 x_88 = 8024
0 x_89 = 1200
0 x_90 = 7460
0 x_91 = 8055
0 x_92 = 2347
0 x_93 = 3694
0 x_94 = 7328
0 x_95 = 3171
0 x_96 = 6459
0 x_97 = 7982
0 x_98 = 8887
0 x_99 = 5408
0 x_100 = 6059
0 x_101 = 2423
0 x_102 = 6506
0 x_103 = 480
0 x_104 = 8543
0 x_105 = 1921
0 x_106 = 6414
0 x_107 = 6317
0 x_108 = 2728
0 x_109 = 8550
0 x_110 = 2180
0 x_111 = 6756
0 x_112 = 489
0 x_113 = 8876
0 x_114 = 5001
0 x_115 = 241
0 x_116 = 8941
0 x_117 = 7406
0 x_118 = 6057
0 x_119 = 2349
0 x_120 = 3768
0 x_121 = 825
0 x_122 = 2826
0 x_123 = 2935
0 x_124 = 6968
0 x_125 = 8333
0 x_126 = 3392
0 x_127 = 5395
0 x_128 = 5578
0 x_129 = 3108
0 x_130 = 4128
0 x_131 = 4904
0 x_132 = 5893
0 x_133 = 5522
0 x_134 = 1036
0 x_135 = 1392
0 x_136 = 5323
0 x_137 = 2914
0 x_138 = 6191
0 x_139 = 7307
0 x_140 = 2394
0 x_141 = 5433
0 x_142 = 6984
0 x_143 = 8925
0 x_144 = 6814
0 x_145 = 2635
0 x_146 = 5109
0 x_147 = 4237
0 x_148 = 8937
0 x_149 = 7258
0 x_150 = 581
0 x_151 = 3039
0 x_152 = 1575
0 x_153 = 2853
0 x_154 = 3934
0 x_155 = 6967
0 x_156 = 8296
0 x_157 = 2023
0 x_158 = 947
0 x_159 = 7340
0 x_160 = 3615
0 x_161 = 4405
0 x_162 = 5912
0 x_163 = 6225
0 x_164 = 8565
0 x_165 = 2735
0 x_166 = 8809
0 x_167 = 2522
0 x_168 = 928
0 x_169 = 6637
0 x_170 = 5327
0 x_171 = 3062
0 x_172 = 2426
0 x_173 = 6617
0 x_174 = 4587
0 x_175 = 3405
0 x_176 = 5876
0 x_177 = 4893
0 x_178 = 5486
0 x_179 = 8945
0 x_180 = 7554
0 x_181 = 2292
0 x_182 = 1659
0 x_183 = 5961
0 x_184 = 8038
0 x_185 = 1718
0 x_186 = 8144
0 x_187 = 5640
0 x_188 = 5402
0 x_189 = 5837
0 x_190 = 3450
0 x_191 = 7541
0 x_192 = 1811
0 x_193 = 2344
0 x_194 = 3583
0 x_195 = 3221
0 x_196 = 8309
0 x_197 = 2504
0 x_198 = 262
0 x_199 = 477
0 x_200 = 8432
5 x_12501 = 4779
5 x_12502 = 1268
6 x_15001 = 7925
6 x_15002 = 6778
3 x_7501 = 9137
3 x_7502 = 5417
4 x_10001 = 3963
4 x_10002 = 8040
1 x_2501 = 4779
1 x_2502 = 1268
7 x_17501 = 9137
7 x_17502 = 5417
2 x_5001 = 7925
2 x_5002 = 6778
2 x_5003 = 1303
0 x_201 = 7055
0 x_202 = 2311
0 x_203 = 2362
0 x_204 = 4249
0 x_205 = 140
0 x_206 = 5204
0 x_207 = 7752
0 x_208 = 377
0 x_209 = 4732
0 x_210 = 8770
0 x_211 = 1079
0 x_212 = 2983
0 x_213 = 8744
0 x_214 = 117
0 x_215 = 4353
0 x_216 = 3988
0 x_217 = 8965
0 x_218 = 8294
0 x_219 = 1949
0 x_220 = 7450
0 x_221 = 7685
0 x_222 = 7139
0 x_223 = 5419
0 x_224 = 6466
0 x_225 = 8241
0 x_226 = 9229
0 x_227 = 8821
0 x_228 = 2966
0 x_229 = 8115
0 x_230 = 4567
0 x_231 = 2665
0 x_232 = 6219
0 x_233 = 8343
0 x_234 = 3762
1 x_2503 = 735
1 x_2504 = 8737
1 x_2505 = 9099
1 x_2506 = 4011
7 x_17503 = 6392
7 x_17504 = 5503
7 x_17505 = 333
7 x_17506 = 3104
2 x_5004 = 2030
2 x_5005 = 1206
2 x_5006 = 7682
2 x_5007 = 7028
2 x_5008 = 1312
5 x_12503 = 735
5 x_12504 = 8737
5 x_12505 = 9099
5 x_12506 = 4011
5 x_12507 = 575
6 x_15003 = 1303
6 x_15004 = 2030
6 x_15005 = 1206
6 x_15006 = 7682
6 x_15007 = 7028
3 x_7503 = 6392
3 x_7504 = 5503
3 x_7505 = 333
3 x_7506 = 3104
4 x_10003 = 1792
4 x_10004 = 1641
4 x_10005 = 5295
4 x_10006 = 1878
4 x_10007 = 4823
0 x_235 = 603
0 x_236 = 3853
0 x_237 = 3970
0 x_238 = 8299
0 x_239 = 2134
0 x_240 = 5054
0 x_241 = 2202
0 x_242 = 7570
0 x_243 = 2884
0 x_244 = 5081
0 x_245 = 3201
0 x_246 = 7569
0 x_247 = 2847
0 x_248 = 3712
0 x_249 = 7994
0 x_250 = 90
0 x_251 = 3354
0 x_252 = 3989
0 x_253 = 9002
0 x_254 = 422
0 x_255 = 6397
0 x_256 = 5688
0 x_257 = 7178
0 x_258 = 6862
0 x_259 = 4411
0 x_260 = 6134
0 x_261 = 5198
0 x_262 = 7530
0 x_263 = 1404
0 x_264 = 5767
0 x_265 = 860
0 x_266 = 4121
0 x_267 = 4645
0 x_268 = 5551
0 x_269 = 2109
0 x_270 = 4129
0 x_271 = 4941
0 x_272 = 7262
0 x_273 = 729
0 x_274 = 8515
0 x_275 = 885
0 x_276 = 5046
0 x_277 = 1906
0 x_278 = 5859
0 x_279 = 4264
0 x_280 = 695
0 x_281 = 7257
0 x_282 = 544
0 x_283 = 1670
0 x_284 = 6368
0 x_285 = 4615
0 x_286 = 4441
0 x_287 = 7244
0 x_288 = 63
0 x_289 = 2355
0 x_290 = 3990
0 x_291 = 9039
0 x_292 = 1791
0 x_293 = 1604
0 x_294 = 3926
0 x_295 = 6671
0 x_296 = 6585
0 x_297 = 3403
0 x_298 = 5802
0 x_299 = 2155
0 x_300 = 5831
0 x_301 = 3228
0 x_302 = 8568
0 x_303 = 2846
0 x_304 = 3675
0 x_305 = 6625
0 x_306 = 4883
0 x_307 = 5116
0 x_308 = 4496
0 x_309 = 38
